#Organism/Name,BioProject,Group,SubGroup,Size (Mb),GC%,Chromosomes/RefSeq,Chromosomes/INSDC,Plasmids/RefSeq,Plasmids/INSDC,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Status
Rickettsia typhi str. B9991CWPP,PRJNA158357,Proteobacteria,Alphaproteobacteria,1.11296,28.9,NC_017062.1,CP003398.1,-,-,-,1,875,839,3/21/2012,10/17/2013,Complete
Rickettsia prowazekii str. BuV67-CWPP,PRJNA158063,Proteobacteria,Alphaproteobacteria,1.11145,29,NC_017056.1,CP003393.1,-,-,-,1,879,843,3/21/2012,10/17/2013,Complete
Rickettsia prowazekii str. Katsinyian,PRJNA158055,Proteobacteria,Alphaproteobacteria,1.11145,29,NC_017050.1,CP003392.1,-,-,-,1,880,844,3/21/2012,10/17/2013,Complete
Rickettsia prowazekii str. Chernikova,PRJNA158053,Proteobacteria,Alphaproteobacteria,1.1098,29,NC_017049.1,CP003391.1,-,-,-,1,881,845,3/21/2012,10/17/2013,Complete
Wolbachia endosymbiont of Onchocerca ochengi,PRJEA171829,Proteobacteria,Alphaproteobacteria,0.95799,32.1,NC_018267.1,HE660029.1,-,-,-,1,881,647,7/30/2012,6/11/2013,Complete
Candidatus Phytoplasma australiense,PRJNA61641,Tenericutes,Mollicutes,0.879959,27.4,NC_010544.1,AM422018.1,-,-,-,1,882,684,4/1/2008,6/10/2013,Complete
Mycoplasma cynos C142,PRJNA184824,Tenericutes,Mollicutes,0.998123,25.7,NC_019949.1,HF559394.1,-,-,-,1,883,883,12/12/2012,6/11/2013,Complete
Mycoplasma suis str. Illinois,PRJNA61897,Tenericutes,Mollicutes,0.742431,31.1,NC_015155.1,CP002525.1,-,-,-,1,884,845,2/18/2011,7/6/2013,Complete
Mycoplasma ovis str. Michigan,PRJNA232247,Tenericutes,Mollicutes,0.702511,31.7,NC_023062.1,CP006935.1,-,-,-,1,886,840,12/16/2013,2/14/2014,Complete
Spiroplasma diminutum CUAS-1,PRJNA212976,Tenericutes,Mollicutes,0.945296,25.5,NC_021833.1,CP005076.1,-,-,-,1,890,858,7/17/2013,9/12/2013,Complete
Mycoplasma fermentans PG18,PRJNA197154,Tenericutes,Mollicutes,1.00401,26.9,NC_021002.1,AP009608.1,-,-,-,1,893,893,6/3/2009,6/11/2013,Complete
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,PRJNA59163,Bacteroidetes/Chlorobi group,Bacteroidetes,1.22492,32.9857,NC_011565.1,AP010656.1,"NC_011562.1,NC_011564.1,NC_011563.1,NC_011561.1","AP010659.1,AP010657.1,AP010660.1,AP010658.1",-,5,894,852,11/13/2008,6/7/2013,Complete
Anaplasma marginale str. Dawn,PRJNA226994,Proteobacteria,Alphaproteobacteria,1.19676,49.6,NC_022760.1,CP006847.1,-,-,-,1,901,794,11/5/2013,1/30/2014,Complete
Chlamydia trachomatis IU824,PRJNA193712,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05053,41.2636,NC_020511.1,HF562298.1,NC_020551.1,HF562299.1,-,2,903,883,3/15/2013,6/10/2013,Complete
Chlamydia trachomatis IU888,PRJNA193713,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05052,41.2636,NC_020512.1,HF562300.1,NC_020513.1,HF562301.1,-,2,903,885,3/15/2013,6/10/2013,Complete
Mycoplasma mycoides subsp. capri str. GM12,PRJNA39245,Tenericutes,Mollicutes,1.08459,23.9,-,CP001668.1,-,-,-,1,908,830,8/21/2009,9/2/2009,Complete
Mycoplasma mycoides subsp. capri str. GM12,PRJNA19245,Tenericutes,Mollicutes,1.0892,23.9,-,CP001621.1,-,-,-,1,911,832,8/21/2009,8/21/2009,Complete
Chlamydia trachomatis E/C599,PRJNA222812,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04263,41.3,NC_022537.1,HE605379.1,-,-,-,-,919,882,10/10/2013,10/17/2013,Complete
Rickettsia typhi str. Wilmington,PRJNA58063,Proteobacteria,Alphaproteobacteria,1.1115,28.9,NC_006142.1,AE017197.1,-,-,-,1,919,838,8/19/2004,1/30/2014,Complete
candidate division WWE3 bacterium RAAC2_WWE3_1,PRJNA230713,unclassified Bacteria,candidate division WWE3,0.878109,43.2,NC_023001.1,CP006914.1,-,-,-,1,919,871,12/4/2013,12/6/2013,Complete
Chlamydia trachomatis D-LC,PRJNA159879,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05001,41.2643,NC_017436.1,CP002054.1,NC_017433.1,CP002055.1,-,2,921,878,6/9/2010,12/11/2013,Complete
Chlamydia trachomatis D-EC,PRJNA159881,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05001,41.2643,NC_017434.1,CP002052.1,NC_017435.1,CP002053.1,-,2,921,878,6/9/2010,12/11/2013,Complete
Chlamydia trachomatis Sweden2,PRJEA161995,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04284,41.3,NC_017441.1,FN652779.2,-,-,-,1,922,875,2/24/2010,8/6/2013,Complete
Mycoplasma leachii PG50,PRJNA60849,Tenericutes,Mollicutes,1.00895,23.8,NC_014751.1,CP002108.1,-,-,-,1,925,882,11/30/2010,7/6/2013,Complete
Chlamydia trachomatis E/SW3,PRJEA167483,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.0429,41.2636,NC_017952.1,HE601801.1,NC_012631.1,FM865440.1,-,1,927,884,4/28/2009,6/11/2013,Complete
Borrelia afzelii HLJ01,PRJNA177930,Spirochaetes,Spirochaetia,0.905471,28.3,NC_018887.1,CP003882.1,-,-,-,1,928,892,10/10/2012,1/30/2014,Complete
Chlamydia trachomatis A2497,PRJNA159863,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04432,41.3,NC_016798.1,FM872306.1,-,-,-,1,931,879,1/10/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/UCH-1/proctitis,PRJNA61635,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03886,41.3,NC_010280.2,AM884177.2,-,-,-,1,934,874,1/15/2008,6/11/2013,Complete
Chlamydia trachomatis L2/25667R,PRJNA196786,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03884,41.3,NC_020930.1,HE601954.1,-,-,-,1,934,890,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis B/Jali20/OT,PRJNA59351,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04435,41.3,NC_012686.1,FM872308.1,-,-,-,1,936,875,5/11/2009,6/10/2013,Complete
Chlamydia trachomatis L1/440/LN,PRJNA196783,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03926,41.3,NC_020937.1,HE601950.1,-,-,-,1,936,892,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis F/SWFPminus,PRJNA222813,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04273,41.3,NC_022548.1,HE605380.2,-,-,-,-,936,886,10/10/2013,10/17/2013,Complete
Neorickettsia risticii str. Illinois,PRJNA58889,Proteobacteria,Alphaproteobacteria,0.879977,41.3,NC_013009.1,CP001431.1,-,-,-,1,936,898,7/23/2009,6/10/2013,Complete
Chlamydia trachomatis B/TZ1A828/OT,PRJNA59349,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04428,41.3,NC_012687.1,FM872307.1,-,-,-,1,937,880,5/11/2009,6/10/2013,Complete
Chlamydia trachomatis D/UW-3/CX,PRJNA57637,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04252,41.3,NC_000117.1,AE001273.1,-,-,-,1,939,894,5/20/1998,1/30/2014,Complete
Wolbachia endosymbiont strain TRS of Brugia malayi,PRJNA58107,Proteobacteria,Alphaproteobacteria,1.08008,34.2,NC_006833.1,AE017321.1,-,-,-,1,940,805,2/2/2005,6/10/2013,Complete
Chlamydia trachomatis L3/404/LN,PRJNA196797,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04667,41.2646,NC_020974.1,HE601955.1,NC_020957.1,HE603228.1,-,2,940,895,3/13/2012,6/11/2013,Complete
Mycoplasma leachii 99/014/6,PRJEA162031,Tenericutes,Mollicutes,1.01723,23.7,NC_017521.1,FR668087.1,-,-,-,1,940,905,7/4/2011,6/11/2013,Complete
Chlamydia trachomatis L1/115,PRJNA196784,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04658,41.2635,NC_020929.1,HE601952.1,NC_020951.1,HE603218.1,-,2,941,897,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L1/224,PRJNA196785,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04632,41.2634,NC_020973.1,HE601953.1,NC_020952.1,HE603220.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/8200/07,PRJNA196787,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04636,41.2634,NC_020945.1,HE601795.1,NC_020984.1,HE603222.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/UCH-2,PRJNA196788,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04634,41.2636,NC_020931.1,HE601956.1,NC_020956.1,HE603227.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/LST,PRJNA196789,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04638,41.2634,NC_020975.1,HE601958.1,NC_020985.1,HE603226.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/CV204,PRJNA196790,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04638,41.2634,NC_020976.1,HE601960.1,NC_020955.1,HE603225.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/795,PRJNA196791,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04622,41.2634,NC_020938.1,HE601949.1,NC_020983.1,HE603221.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/Ams1,PRJNA196792,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04638,41.2634,NC_020933.1,HE601959.1,NC_020980.1,HE603213.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/Ams2,PRJNA196793,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04636,41.2634,NC_020934.1,HE601961.1,NC_020948.1,HE603214.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/Ams3,PRJNA196794,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04623,41.2634,NC_020977.1,HE601962.1,NC_020949.1,HE603215.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/Ams4,PRJNA196795,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04638,41.2634,NC_020978.1,HE601964.1,NC_020981.1,HE603216.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/Ams5,PRJNA196796,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04635,41.2634,NC_020936.1,HE601965.1,NC_020950.1,HE603217.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/Canada2,PRJNA196799,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04625,41.2634,NC_020932.1,HE601957.1,NC_020954.1,HE603224.1,-,2,942,900,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L1/1322/p2,PRJNA196800,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04693,41.2642,NC_020972.1,HE601951.1,NC_020982.1,HE603219.1,-,2,942,898,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis F/SW5,PRJEA167485,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04274,41.2637,NC_017953.1,HE601805.1,NC_012626.1,FM865442.1,-,1,943,883,4/28/2009,6/11/2013,Complete
Chlamydia trachomatis D/SotonD5,PRJNA196773,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04963,41.2643,NC_020943.1,HE601799.1,NC_020958.1,HE603230.1,-,2,943,899,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis D/SotonD6,PRJNA196774,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05005,41.2643,NC_020968.1,HE601800.1,NC_020959.1,HE603231.1,-,2,943,899,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis 434/Bu,PRJNA61633,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03884,41.3,NC_010287.1,AM884176.1,-,-,-,1,944,885,1/15/2008,8/22/2013,Complete
Chlamydia trachomatis F/SW4,PRJEA167484,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04274,41.2636,NC_017951.1,HE601804.1,NC_012625.1,FM865441.1,-,1,944,881,4/28/2009,6/11/2013,Complete
Chlamydia trachomatis F/SotonF3,PRJNA196778,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05028,41.2636,NC_020964.1,HE601806.1,NC_020988.1,HE603234.1,-,2,944,900,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis G/SotonG1,PRJNA196779,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04964,41.2644,NC_020941.1,HE601807.1,NC_020961.1,HE603235.1,-,2,944,900,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis K/SotonK1,PRJNA196782,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04994,41.2643,NC_020965.1,HE601794.1,NC_020963.1,HE603238.1,-,2,944,900,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis E/SotonE4,PRJNA196776,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05013,41.2643,NC_020969.1,HE601802.1,NC_020987.1,HE603232.1,-,2,945,901,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis D/SotonD1,PRJNA196772,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05008,41.2636,NC_020967.1,HE601798.1,NC_020986.1,HE603229.1,-,2,946,902,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis Ia/SotonIa1,PRJNA196780,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05013,41.2643,NC_020970.1,HE601808.1,NC_020962.1,HE603236.1,-,2,946,902,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis Ia/SotonIa3,PRJNA196781,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05028,41.2643,NC_020940.1,HE601809.1,NC_020989.1,HE603237.1,-,2,946,902,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis L2b/Canada1,PRJNA196798,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04604,41.2634,NC_020935.1,HE601963.1,NC_020953.1,HE603223.1,-,2,947,903,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis E/Bour,PRJNA196775,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05009,41.2636,NC_020971.1,HE601870.1,NC_020947.1,HE603212.1,-,2,948,904,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis E/SotonE8,PRJNA196777,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05632,41.2638,NC_020942.1,HE601803.1,NC_020960.1,HE603233.1,-,2,949,905,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis A/7249,PRJNA196771,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05188,41.2643,NC_020944.1,HE601797.1,NC_020979.1,HE603211.1,-,2,950,906,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis A/5291,PRJNA196770,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05153,41.2643,NC_020939.1,HE601810.1,NC_020946.1,HE603210.1,-,2,951,907,3/13/2012,6/11/2013,Complete
Chlamydia trachomatis A/363,PRJNA196769,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05153,41.2643,NC_020966.1,HE601796.2,NC_019272.1,HE603209.2,-,2,952,908,3/13/2012,6/11/2013,Complete
Rickettsia prowazekii str. Breinl,PRJNA196851,Proteobacteria,Alphaproteobacteria,1.1093,29,NC_020993.1,CP004889.1,-,-,-,1,956,920,4/11/2013,7/5/2013,Complete
Anaplasma marginale str. Gypsy Plains,PRJNA227217,Proteobacteria,Alphaproteobacteria,1.19862,49.6,NC_022784.1,CP006846.1,-,-,-,1,959,858,11/5/2013,12/11/2013,Complete
Ehrlichia ruminantium str. Welgevonden,PRJNA58013,Proteobacteria,Alphaproteobacteria,1.51635,27.5,NC_005295.2,CR767821.1,-,-,-,1,961,888,12/10/2003,6/10/2013,Complete
Candidatus Mycoplasma haemolamae str. Purdue,PRJNA171259,Tenericutes,Mollicutes,0.756845,39.3,NC_018219.1,CP003731.1,-,-,-,1,961,925,7/24/2012,6/11/2013,Complete
Chlamydia trachomatis G/11074,PRJNA161409,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04287,41.3,NC_017440.1,CP001889.1,-,-,-,1,962,919,5/21/2010,6/11/2013,Complete
Chlamydia trachomatis RC-L2(s)/3,PRJNA213390,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04617,41.3,NC_021897.1,CP002676.1,-,-,-,1,962,919,7/26/2013,7/27/2013,Complete
Chlamydia muridarum str. Nigg,PRJNA57785,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.08045,40.2681,NC_002620.2,AE002160.2,NC_002182.1,AE002162.1,-,2,962,911,2/29/2000,5/23/2013,Complete
Chlamydia trachomatis A/HAR-13,PRJNA58333,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05197,41.2643,NC_007429.1,CP000051.1,NC_007430.1,CP000052.1,-,2,963,919,9/23/2005,5/23/2013,Complete
Chlamydia trachomatis G/9768,PRJNA161353,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04281,41.3,NC_017429.1,CP001887.1,-,-,-,1,963,920,5/21/2010,6/11/2013,Complete
Chlamydia trachomatis RC-J/953,PRJNA213389,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03879,41.3,NC_021889.1,CP002675.1,-,-,-,1,963,920,7/26/2013,7/27/2013,Complete
secondary endosymbiont of Ctenarytaina eucalypti,PRJNA172737,Proteobacteria,Gammaproteobacteria,1.44114,43.3,NC_018419.1,CP003546.1,-,-,-,1,963,918,8/13/2012,7/7/2013,Complete
Chlamydia trachomatis G/9301,PRJNA161377,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04281,41.3,NC_017432.1,CP001930.1,-,-,-,1,964,921,5/28/2010,6/11/2013,Complete
Mycoplasma mycoides subsp. capri LC str. 95010,PRJNA66189,Tenericutes,Mollicutes,1.15584,23.8086,NC_015431.1,FQ377874.1,NC_015407.1,FQ790215.1,-,2,964,924,4/12/2011,7/6/2013,Complete
Ehrlichia muris AS145,PRJNA232250,Proteobacteria,Alphaproteobacteria,1.19672,29.7,NC_023063.1,CP006917.1,-,-,-,1,964,904,12/16/2013,2/18/2014,Complete
Chlamydia trachomatis RC-F/69,PRJNA213385,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04609,41.3,NC_021895.1,CP002671.1,-,-,-,1,967,924,7/26/2013,7/27/2013,Complete
Spiroplasma sabaudiense Ar-1343,PRJNA184750,Tenericutes,Mollicutes,1.07595,30.2,-,CP006934.1,-,-,-,1,967,924,2/7/2014,2/7/2014,Complete
Chlamydia trachomatis RC-L2(s)/46,PRJNA213386,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03882,41.3,NC_021887.1,CP002672.1,-,-,-,1,968,925,7/26/2013,7/27/2013,Complete
Chlamydia trachomatis RC-J/971,PRJNA213395,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03844,41.3,NC_021899.1,CP002681.1,-,-,-,1,968,925,7/26/2013,7/27/2013,Complete
Chlamydia pecorum PV3056/3,PRJNA221290,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.10455,41.1,NC_022439.1,CP004033.1,-,-,-,1,968,921,9/24/2013,9/25/2013,Complete
Chlamydia trachomatis E/11023,PRJNA161369,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04303,41.3,NC_017431.1,CP001890.1,-,-,-,1,969,926,5/21/2010,6/11/2013,Complete
Chlamydia trachomatis RC-J/943,PRJNA213388,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.0388,41.3,NC_021896.1,CP002674.1,-,-,-,1,969,926,7/26/2013,7/27/2013,Complete
Chlamydia trachomatis RC-J/966,PRJNA213393,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03884,41.3,NC_021898.1,CP002679.1,-,-,-,1,969,926,7/26/2013,7/27/2013,Complete
Borrelia garinii PBi,PRJNA58125,Spirochaetes,Spirochaetia,0.986914,28.1245,NC_006156.1,CP000013.1,"NC_006128.1,NC_006129.1","CP000014.1,CP000015.1",-,3,969,932,8/9/2004,1/30/2014,Complete
Chlamydia pecorum W73,PRJNA221291,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.10653,41.1,NC_022440.1,CP004034.1,-,-,-,1,969,925,9/24/2013,9/25/2013,Complete
Chlamydia pecorum P787,PRJNA221292,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.10641,41.1,NC_022441.1,CP004035.1,-,-,-,1,969,925,9/24/2013,9/25/2013,Complete
Chlamydia trachomatis G/11222,PRJNA161361,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04235,41.3,NC_017430.1,CP001888.1,-,-,-,1,970,927,5/21/2010,6/11/2013,Complete
Chlamydia trachomatis E/150,PRJNA161403,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.043,41.3,NC_017439.1,CP001886.1,-,-,-,1,970,927,5/21/2010,6/11/2013,Complete
Chlamydia trachomatis RC-L2/55,PRJNA213396,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03887,41.3,NC_021893.1,CP002682.1,-,-,-,1,970,927,7/26/2013,7/27/2013,Complete
Neorickettsia sennetsu str. Miyayama,PRJNA57965,Proteobacteria,Alphaproteobacteria,0.859006,41.1,NC_007798.1,CP000237.1,-,-,-,1,973,932,2/21/2006,6/10/2013,Complete
Rickettsia prowazekii str. NMRC Madrid E,PRJNA196850,Proteobacteria,Alphaproteobacteria,1.11152,29,NC_020992.1,CP004888.1,-,-,-,1,974,938,4/11/2013,7/5/2013,Complete
Chlamydia trachomatis RC-J(s)/122,PRJNA213392,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.06185,41.5,NC_021891.1,CP002678.1,-,-,-,1,978,935,7/26/2013,7/27/2013,Complete
Candidatus Vesicomyosocius okutanii HA,PRJNA59427,Proteobacteria,Gammaproteobacteria,1.02215,31.6,NC_009465.1,AP009247.1,-,-,-,1,978,937,5/9/2007,6/10/2013,Complete
Chlamydia trachomatis L2/434/Bu(i),PRJNA198643,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04634,41.2634,NC_021050.1,CP003963.1,NC_021051.1,CP003964.1,-,2,983,940,4/15/2013,7/2/2013,Complete
Chlamydia trachomatis L2/434/Bu(f),PRJNA198644,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.04634,41.2634,NC_021052.1,CP003965.1,NC_021049.1,CP003966.1,-,2,984,941,4/15/2013,6/21/2013,Complete
Ehrlichia canis str. Jake,PRJNA58071,Proteobacteria,Alphaproteobacteria,1.31503,29,NC_007354.1,CP000107.1,-,-,-,1,984,925,8/12/2005,1/28/2014,Complete
Rickettsia peacockii str. Rustic,PRJNA59301,Proteobacteria,Alphaproteobacteria,1.3149,32.6422,NC_012730.1,CP001227.1,NC_012732.1,CP001228.1,-,2,984,947,5/29/2009,6/8/2013,Complete
Anaplasma centrale str. Israel,PRJNA42155,Proteobacteria,Alphaproteobacteria,1.20681,50,NC_013532.1,CP001759.1,-,-,-,1,984,925,11/24/2009,6/10/2013,Complete
Ehrlichia ruminantium str. Gardel,PRJNA58245,Proteobacteria,Alphaproteobacteria,1.49992,27.5,NC_006831.1,CR925677.1,-,-,-,1,989,950,2/1/2005,6/10/2013,Complete
Chlamydia trachomatis C/TW-3,PRJNA232251,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.05106,41.2636,NC_023060.1,CP006945.1,NC_023057.1,CP006946.1,-,2,990,928,12/13/2013,12/19/2013,Complete
Borrelia garinii BgVir,PRJNA162165,Spirochaetes,Spirochaetia,0.993811,28.2333,NC_017717.1,CP003151.1,"NC_017804.1,NC_017725.1","CP003202.1,CP003201.1",-,3,995,956,12/22/2011,6/8/2013,Complete
Anaplasma marginale str. Florida,PRJNA58577,Proteobacteria,Alphaproteobacteria,1.20243,49.8,NC_012026.1,CP001079.1,-,-,-,1,997,942,2/3/2009,6/10/2013,Complete
Ehrlichia ruminantium str. Welgevonden,PRJNA58243,Proteobacteria,Alphaproteobacteria,1.51298,27.5,NC_006832.1,CR925678.1,-,-,-,1,997,958,2/1/2005,6/10/2013,Complete
Chlamydia trachomatis L2c,PRJNA68843,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.03831,41.3,NC_015744.1,CP002024.1,-,-,-,1,997,954,7/6/2011,12/11/2013,Complete
Chlamydia trachomatis RC-F(s)/342,PRJNA213391,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.08384,41.5,NC_021890.1,CP002677.1,-,-,-,1,997,951,7/26/2013,7/27/2013,Complete
Chlamydia trachomatis RC-F(s)/852,PRJNA213387,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.08389,41.5,NC_021888.1,CP002673.1,-,-,-,1,1000,954,7/26/2013,7/27/2013,Complete
Rickettsia prowazekii str. Rp22,PRJNA161945,Proteobacteria,Alphaproteobacteria,1.11161,29,NC_017560.1,CP001584.1,-,-,-,1,1001,952,3/30/2010,6/11/2013,Complete
Chlamydia trachomatis J/6276tet1,PRJNA213394,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.08095,41.5,NC_021892.1,CP002680.1,-,-,-,1,1002,956,7/26/2013,7/27/2013,Complete
Chlamydophila abortus S26/3,PRJNA57963,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.14438,39.9,NC_004552.2,CR848038.1,-,-,-,1,1003,932,3/5/2003,6/10/2013,Complete
Anaplasma marginale str. St. Maries,PRJNA57629,Proteobacteria,Alphaproteobacteria,1.19769,49.8,NC_004842.2,CP000030.1,-,-,-,1,1004,948,6/17/2003,6/27/2013,Complete
Chlamydia psittaci RD1,PRJEA162063,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.17163,39.06,NC_014796.1,FQ482149.1,NC_014797.1,FQ482150.1,-,2,1009,951,12/9/2010,6/9/2013,Complete
Rickettsia japonica YH,PRJNA73963,Proteobacteria,Alphaproteobacteria,1.28309,32.4,NC_016050.1,AP011533.1,-,-,-,1,1010,971,10/1/2011,9/12/2013,Complete
Chlamydia psittaci 01DC12,PRJNA179070,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.17856,39.0603,NC_019391.1,HF545614.1,NC_019392.1,HF545615.1,-,2,1015,959,11/5/2012,6/9/2013,Complete
Chlamydia psittaci 6BC,PRJNA63621,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.17921,39.0603,NC_015470.1,CP002549.1,NC_015217.1,CP002550.1,-,2,1016,975,3/8/2011,7/6/2013,Complete
Chlamydia psittaci C19/98,PRJNA159523,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.16937,39,NC_017291.1,CP002804.1,-,-,-,1,1019,978,6/2/2011,9/6/2013,Complete
Chlamydia psittaci 08DC60,PRJNA159525,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.17203,39.1,NC_017290.1,CP002807.1,-,-,-,1,1019,973,6/2/2011,9/6/2013,Complete
Chlamydia psittaci 01DC11,PRJNA159527,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.1722,39.1,NC_017289.1,CP002805.1,-,-,-,1,1019,975,6/2/2011,9/6/2013,Complete
Chlamydia psittaci 02DC15,PRJNA159521,Chlamydiae/Verrucomicrobia group,Chlamydiae,1.17218,39.1,NC_017292.1,CP002806.1,-,-,-,1,1020,978,6/2/2011,6/11/2013,Complete
